Date,TotalConfirmed
4/15/2020,1
4/20/2020,2
5/12/2020,3
5/20/2020,4
5/31/2020,5
6/2/2020,6
6/4/2020,7
6/5/2020,8
6/6/2020,9
6/7/2020,10
6/9/2020,11
6/10/2020,12
6/11/2020,14
6/12/2020,15
6/14/2020,20
6/16/2020,26
6/17/2020,28
6/18/2020,31
6/19/2020,33
6/20/2020,34
6/21/2020,36
6/23/2020,38
6/24/2020,42
6/25/2020,47
6/26/2020,52
6/27/2020,56
6/28/2020,61
6/29/2020,62
6/30/2020,65
7/1/2020,66
7/2/2020,69
7/3/2020,75
7/4/2020,82
7/5/2020,88
7/6/2020,90
7/7/2020,99
7/8/2020,114
7/9/2020,122
7/10/2020,129
7/11/2020,136
7/12/2020,142
7/13/2020,149
7/14/2020,150
7/15/2020,155
7/16/2020,160
7/17/2020,170
7/18/2020,174
7/19/2020,183
7/20/2020,187
7/21/2020,189
7/22/2020,199
7/23/2020,205
7/24/2020,214
7/25/2020,224
7/26/2020,234
7/27/2020,236
7/28/2020,239
7/29/2020,246
7/30/2020,251
7/31/2020,259
8/1/2020,263
8/2/2020,266
8/3/2020,269
8/4/2020,270
8/5/2020,272
8/6/2020,279
8/7/2020,282
8/8/2020,286
8/9/2020,289
8/10/2020,290
8/12/2020,292
8/13/2020,295
8/14/2020,299
8/15/2020,301
8/16/2020,302
8/17/2020,304
8/18/2020,305
8/19/2020,307
8/20/2020,309
8/21/2020,310
8/24/2020,312
8/27/2020,313
8/28/2020,314
