Date,TotalConfirmed
5/3/2020,1
7/3/2020,2
8/3/2020,3
9/3/2020,7
11/3/2020,13
12/3/2020,16
13-03-2020,24
14-03-2020,38
15-03-2020,51
16-03-2020,62
17-03-2020,85
18-03-2020,116
19-03-2020,150
20-03-2020,202
21-03-2020,240
22-03-2020,274
23-03-2020,402
24-03-2020,554
25-03-2020,709
26-03-2020,927
27-03-2020,1170
28-03-2020,1187
29-03-2020,1280
30-03-2020,1326
31-03-2020,1353
1/4/2020,1380
2/4/2020,1462
3/4/2020,1505
4/4/2020,1585
5/4/2020,1655
6/4/2020,1686
7/4/2020,1749
8/4/2020,1845
9/4/2020,1934
10/4/2020,2003
11/4/2020,2028
12/4/2020,2173
13-04-2020,2272
14-04-2020,2415
15-04-2020,2506
16-04-2020,2605
17-04-2020,2783
18-04-2020,3034
19-04-2020,3158
20-04-2020,3300
21-04-2020,3465
22-04-2020,3635
23-04-2020,3953
24-04-2020,4220
25-04-2020,4361
26-04-2020,4546
27-04-2020,4793
28-04-2020,4996
29-04-2020,5350
30-04-2020,5647
1/5/2020,5951
2/5/2020,6336
3/5/2020,6783
4/5/2020,7220
5/5/2020,7572
6/5/2020,7808
7/5/2020,8232
8/5/2020,8895
9/5/2020,9420
10/5/2020,10015
11/5/2020,10652
12/5/2020,11350
13-05-2020,12074
14-05-2020,12739
15-05-2020,13524
16-05-2020,14355
17-05-2020,15515
18-05-2020,16433
19-05-2020,17200
20-05-2020,18003
21-05-2020,19137
22-05-2020,20125
23-05-2020,21343
24-05-2020,22583
25-05-2020,23615
26-05-2020,24264
27-05-2020,25937
28-05-2020,27403
29-05-2020,29240
30-05-2020,30967
31-05-2020,32683
1/6/2020,34357
2/6/2020,35812
3/6/2020,37525
4/6/2020,40792
5/6/2020,43434
6/6/2020,45973
7/6/2020,48285
8/6/2020,50879
9/6/2020,52991
10/6/2020,55421
11/6/2020,58568
12/6/2020,61927
13-06-2020,65736
14-06-2020,70038
15-06-2020,73533
16-06-2020,76334
17-06-2020,80412
18-06-2020,83890
19-06-2020,87715
20-06-2020,92681
21-06-2020,97302
22-06-2020,101590
23-06-2020,106108
24-06-2020,111796
25-06-2020,118375
26-06-2020,124590
27-06-2020,131800
28-06-2020,138134
29-06-2020,144264
30-06-2020,151209
1/7/2020,159333
2/7/2020,168061
3/7/2020,177124
4/7/2020,187977
5/7/2020,196750
6/7/2020,205721
7/7/2020,215855
8/7/2020,224665
9/7/2020,238339
10/7/2020,250687
11/7/2020,264184
12/7/2020,276242
13-07-2020,287796
14-07-2020,298292
15-07-2020,311049
16-07-2020,324221
17-07-2020,337594
18-07-2020,350879
19-07-2020,364328
20-07-2020,373628
21-07-2020,381798
22-07-2020,394948
23-07-2020,408052
24-07-2020,421996
25-07-2020,434200
26-07-2020,445433
27-07-2020,452529
28-07-2020,459761
29-07-2020,471123
30-07-2020,482169
31-07-2020,493183
1/8/2020,503290
2/8/2020,511485
3/8/2020,516862
4/8/2020,521318
5/8/2020,529877
6/8/2020,538184
7/8/2020,545476
8/8/2020,553188
9/8/2020,559858
10/8/2020,563598
11/8/2020,566109
12/8/2020,568919
13-08-2020,572865
14-08-2020,579140
15-08-2020,583653
16-08-2020,587345
17-08-2020,589886
18-08-2020,592144
19-08-2020,596060
20-08-2020,599940
21-08-2020,603338
22-08-2020,607045
23-08-2020,609773
24-08-2020,611450
25-08-2020,613017
26-08-2020,615701
27-08-2020,618286
28-08-2020,620123
29-08-2020,622551
30-08-2020,625056
31-08-2020,627041
1/9/2020,628259
2/9/2020,630595
3/9/2020,633015
4/9/2020,635078
5/9/2020,636884
6/9/2020,638517
7/9/2020,639362
8/9/2020,640441
9/9/2020,642431
