Date,TotalConfirmed
5/6/2020,1
5/18/2020,2
5/23/2020,3
5/27/2020,4
6/4/2020,6
6/5/2020,7
6/7/2020,8
6/9/2020,9
6/12/2020,10
6/14/2020,12
6/15/2020,14
6/16/2020,16
6/17/2020,19
6/18/2020,20
6/19/2020,21
6/21/2020,22
6/22/2020,24
6/24/2020,25
6/25/2020,26
6/26/2020,29
6/27/2020,30
6/28/2020,32
6/29/2020,35
6/30/2020,37
7/1/2020,38
7/2/2020,47
7/3/2020,54
7/4/2020,57
7/5/2020,61
7/6/2020,66
7/7/2020,80
7/8/2020,84
7/9/2020,92
7/10/2020,97
7/11/2020,102
7/12/2020,108
7/13/2020,116
7/14/2020,121
7/15/2020,136
7/16/2020,146
7/17/2020,153
7/18/2020,150
7/19/2020,155
7/20/2020,155
7/21/2020,158
7/22/2020,152
7/23/2020,162
7/24/2020,168
7/25/2020,172
7/26/2020,180
7/27/2020,211
7/28/2020,220
7/29/2020,227
7/30/2020,220
7/31/2020,222
8/1/2020,218
8/2/2020,232
8/3/2020,237
8/4/2020,238
8/5/2020,241
8/6/2020,239
8/7/2020,228
8/8/2020,219
8/9/2020,216
8/10/2020,205
8/11/2020,183
8/12/2020,164
8/13/2020,157
8/14/2020,147
8/15/2020,137
8/16/2020,123
8/17/2020,105
8/18/2020,93
8/19/2020,87
8/20/2020,77
8/21/2020,70
8/22/2020,68
8/23/2020,67
8/24/2020,62
8/26/2020,59
8/27/2020,61
8/29/2020,55
8/30/2020,54
8/31/2020,56
