Date,TotalConfirmed
5/6/2020,1
5/7/2020,2
5/11/2020,3
5/14/2020,4
5/20/2020,6
5/23/2020,7
5/24/2020,8
6/1/2020,9
6/2/2020,10
6/5/2020,12
6/6/2020,13
6/7/2020,14
6/9/2020,15
6/10/2020,16
6/11/2020,18
6/12/2020,39
6/13/2020,43
6/14/2020,45
6/15/2020,47
6/16/2020,48
6/17/2020,55
6/18/2020,54
6/19/2020,56
6/20/2020,64
6/21/2020,68
6/22/2020,71
6/23/2020,72
6/24/2020,78
6/25/2020,83
6/26/2020,95
6/27/2020,220
6/28/2020,219
6/29/2020,231
6/30/2020,240
7/1/2020,250
7/2/2020,247
7/3/2020,410
7/4/2020,420
7/5/2020,423
7/6/2020,426
7/7/2020,435
7/8/2020,449
7/9/2020,460
7/10/2020,589
7/11/2020,593
7/12/2020,597
7/13/2020,607
7/14/2020,597
7/15/2020,781
7/16/2020,784
7/17/2020,785
7/18/2020,644
7/19/2020,645
7/20/2020,897
7/21/2020,897
7/22/2020,1032
7/23/2020,1043
7/24/2020,1052
7/25/2020,929
7/26/2020,942
7/27/2020,811
7/28/2020,803
7/29/2020,818
7/30/2020,638
7/31/2020,638
8/1/2020,736
8/2/2020,719
8/3/2020,708
8/4/2020,450
8/5/2020,452
8/6/2020,479
8/7/2020,463
8/8/2020,504
8/10/2020,495
8/11/2020,477
8/12/2020,490
8/13/2020,476
8/14/2020,511
8/15/2020,499
8/16/2020,399
8/17/2020,394
8/18/2020,393
8/19/2020,395
8/20/2020,420
8/21/2020,250
8/22/2020,239
8/23/2020,176
8/24/2020,177
8/25/2020,179
8/26/2020,217
8/27/2020,201
8/28/2020,200
8/29/2020,151
8/30/2020,150
