Date,TotalConfirmed
3/19/2020,1
3/25/2020,2
3/31/2020,4
4/2/2020,5
4/25/2020,5
4/27/2020,6
4/29/2020,12
4/30/2020,13
5/5/2020,14
5/7/2020,16
5/8/2020,19
5/10/2020,20
5/12/2020,20
5/14/2020,16
5/17/2020,16
5/18/2020,17
5/20/2020,19
5/23/2020,18
5/24/2020,19
5/25/2020,21
5/26/2020,21
5/27/2020,23
5/29/2020,23
5/31/2020,24
6/1/2020,25
6/2/2020,28
6/3/2020,28
6/4/2020,37
6/5/2020,40
6/6/2020,41
6/7/2020,49
6/8/2020,51
6/9/2020,56
6/10/2020,63
6/11/2020,66
6/12/2020,74
6/13/2020,89
6/14/2020,104
6/15/2020,136
6/16/2020,157
6/17/2020,190
6/18/2020,218
6/19/2020,243
6/20/2020,297
6/21/2020,334
6/22/2020,361
6/23/2020,394
6/24/2020,482
6/25/2020,535
6/26/2020,543
6/27/2020,598
6/28/2020,602
6/29/2020,594
6/30/2020,573
7/1/2020,566
7/2/2020,551
7/3/2020,541
7/4/2020,528
7/5/2020,490
7/6/2020,460
7/7/2020,445
7/8/2020,427
7/9/2020,374
7/10/2020,387
7/11/2020,426
7/12/2020,397
7/13/2020,406
7/14/2020,406
7/15/2020,492
7/16/2020,503
7/17/2020,534
7/18/2020,587
7/19/2020,661
7/20/2020,731
7/21/2020,792
7/22/2020,904
7/23/2020,1017
7/24/2020,1116
7/25/2020,1157
7/26/2020,1224
7/27/2020,1269
7/28/2020,1315
7/29/2020,1461
7/30/2020,1516
7/31/2020,1598
8/1/2020,1640
8/2/2020,1631
8/3/2020,1632
8/4/2020,1591
8/5/2020,1586
8/6/2020,1547
8/7/2020,1474
8/8/2020,1388
8/9/2020,1361
8/10/2020,1310
8/11/2020,1242
8/12/2020,1187
8/13/2020,1082
8/14/2020,966
8/15/2020,901
8/16/2020,863
8/17/2020,812
8/18/2020,725
8/19/2020,678
8/20/2020,621
8/21/2020,530
8/22/2020,477
8/23/2020,431
8/24/2020,346
8/25/2020,279
8/26/2020,272
8/27/2020,264
8/28/2020,224
8/29/2020,191
8/30/2020,152
8/31/2020,96
