Date,TotalConfirmed
4/15/2020,1
4/20/2020,2
5/12/2020,3
5/20/2020,4
5/31/2020,5
6/2/2020,6
6/4/2020,7
6/5/2020,7
6/6/2020,8
6/7/2020,9
6/9/2020,10
6/10/2020,11
6/11/2020,13
6/12/2020,14
6/14/2020,19
6/16/2020,25
6/17/2020,27
6/18/2020,29
6/19/2020,31
6/20/2020,31
6/21/2020,32
6/23/2020,33
6/24/2020,37
6/25/2020,41
6/26/2020,44
6/27/2020,47
6/28/2020,47
6/29/2020,48
6/30/2020,45
7/1/2020,46
7/2/2020,47
7/3/2020,50
7/4/2020,55
7/5/2020,60
7/6/2020,60
7/7/2020,67
7/8/2020,82
7/9/2020,86
7/10/2020,88
7/11/2020,90
7/12/2020,92
7/13/2020,94
7/14/2020,94
7/15/2020,96
7/16/2020,100
7/17/2020,107
7/18/2020,105
7/19/2020,107
7/20/2020,105
7/21/2020,105
7/22/2020,106
7/23/2020,97
7/24/2020,98
7/25/2020,101
7/26/2020,104
7/27/2020,100
7/28/2020,96
7/29/2020,102
7/30/2020,102
7/31/2020,105
8/1/2020,99
8/2/2020,98
8/3/2020,92
8/4/2020,89
8/5/2020,89
8/6/2020,86
8/7/2020,83
8/8/2020,78
8/9/2020,71
8/10/2020,62
8/12/2020,62
8/13/2020,58
8/14/2020,57
8/15/2020,51
8/16/2020,48
8/17/2020,47
8/18/2020,45
8/19/2020,46
8/20/2020,46
8/21/2020,40
8/24/2020,39
8/27/2020,39
8/28/2020,37
8/29/2020,34
